122,15,Gre,Gee
122,15,Gee,Gre
123,15,Por,Ric
123,15,Ric,Por
124,15,Ess,Bri
124,15,Bri,Ess
125,15,Haw,Col
125,15,Col,Haw
126,15,Fre,StK
126,15,StK,Fre
127,16,Ade,Wes
127,16,Wes,Ade
128,16,Haw,Gre
128,16,Gre,Haw
129,16,Col,Ess
129,16,Ess,Col
130,16,Syd,Gol
130,16,Gol,Syd
131,16,Bri,Gee
131,16,Gee,Bri
132,16,StK,Ric
132,16,Ric,StK
133,16,Nor,Fre
133,16,Fre,Nor
134,16,Car,Mel
134,16,Mel,Car
135,16,WCE,Por
135,16,Por,WCE
136,17,StK,Ess
136,17,Ess,StK
137,17,Gee,Haw
137,17,Haw,Gee
138,17,Por,Nor
138,17,Nor,Por
139,17,Gol,Col
139,17,Col,Gol
140,17,Gre,Syd
140,17,Syd,Gre
141,17,Mel,Ade
141,17,Ade,Mel
142,17,Ric,Bri
142,17,Bri,Ric
143,17,Car,Wes
143,17,Wes,Car
144,17,Fre,WCE
144,17,WCE,Fre
145,18,Ade,Gee
145,18,Gee,Ade
146,18,Ess,Nor
146,18,Nor,Ess
147,18,Mel,Por
147,18,Por,Mel
148,18,Wes,Gol
148,18,Gol,Wes
149,18,Syd,StK
149,18,StK,Syd
150,18,Fre,Haw
150,18,Haw,Fre
151,18,Ric,Gre
151,18,Gre,Ric
152,18,Col,WCE
152,18,WCE,Col
153,18,Bri,Car
153,18,Car,Bri
154,19,Haw,Syd
154,19,Syd,Haw
155,19,Nor,Mel
155,19,Mel,Nor
156,19,Gre,Fre
156,19,Fre,Gre
157,19,Por,StK
157,19,StK,Por
158,19,Car,Gee
158,19,Gee,Car
159,19,Gol,Ric
159,19,Ric,Gol
160,19,Wes,Ess
160,19,Ess,Wes
161,19,Col,Ade
161,19,Ade,Col
162,19,WCE,Bri
162,19,Bri,WCE
163,20,Gee,Syd
163,20,Syd,Gee
164,20,Gre,Mel
164,20,Mel,Gre
165,20,Ess,Car
